team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
T-12,Canada,CAN,CONCACAF,women,7,0,0,1,4,position 4,20,27,8,34,52,29.63,4.86,7.43,1.259,1.926,31.82,0,0,9.09,29.63,13.87
T-14,China,CHN,AFC,women,7,0,1,2,2,position 2,12.86,33,16,53,32,48.48,7.57,4.57,1.606,0.97,31.82,0,14.29,18.18,48.48,19.98
T-28,England,ENG,UEFA,women,5,0,0,2,3,position 3,10.2,26,15,43,30,57.69,8.6,6,1.654,1.154,22.73,0,0,18.18,57.69,15.31
T-49,New Zealand,NZL,OFC,women,5,0,0,0,24,group stage,24,15,0,8,34,0,1.6,6.8,0.533,2.267,22.73,0,0,0,0,6.82
T-22,Denmark,DNK,UEFA,women,4,0,0,0,12,quarter-final,18,14,3,19,26,21.43,4.75,6.5,1.357,1.857,18.18,0,0,0,21.43,7.6
T-30,France,FRA,UEFA,women,4,0,0,1,4,position 4,19,19,10,32,20,52.63,8,5,1.684,1.053,18.18,0,0,9.09,52.63,12.08
T-51,North Korea,PRK,AFC,women,4,0,0,0,16,quarter-final,22,13,3,12,20,23.08,3,5,0.923,1.538,18.18,0,0,0,23.08,7.76
T-03,Argentina,ARG,CONMEBOL,women,3,0,0,0,24,group stage,24,9,0,5,37,0,1.67,12.33,0.556,4.111,13.64,0,0,0,0,4.09
T-32,Ghana,GHA,CAF,women,3,0,0,0,24,group stage,24,9,1,6,30,11.11,2,10,0.667,3.333,13.64,0,0,0,11.11,5.2
T-41,Italy,ITA,UEFA,women,3,0,0,0,12,quarter-final,20,12,6,20,12,50,6.67,4,1.667,1,13.64,0,0,0,50,9.09
T-46,Mexico,MEX,CONCACAF,women,3,0,0,0,24,group stage,24,9,0,6,30,0,2,10,0.667,3.333,13.64,0,0,0,0,4.09
T-71,South Korea,KOR,AFC,women,3,0,0,0,16,round of 16,21.33,10,1,6,27,10,2,9,0.6,2.7,13.64,0,0,0,10,5.09
T-11,Cameroon,CMR,CAF,women,2,0,0,0,16,round of 16,16,8,3,12,12,37.5,6,6,1.5,1.5,9.09,0,0,0,37.5,6.48
T-16,Colombia,COL,CONMEBOL,women,2,0,0,0,16,round of 16,20,7,1,4,9,14.29,2,4.5,0.571,1.286,9.09,0,0,0,14.29,4.16
T-48,Netherlands,NLD,UEFA,women,2,0,1,1,2,position 2,9,11,7,14,9,63.64,7,4.5,1.273,0.818,9.09,0,14.29,9.09,63.64,13.31
T-62,Russia,RUS,UEFA,women,2,0,0,0,16,quarter-final,16,8,4,16,14,50,8,7,2,1.75,9.09,0,0,0,50,7.73
T-73,Spain,ESP,UEFA,women,2,0,0,0,16,round of 16,20,7,1,6,8,14.29,3,4,0.857,1.143,9.09,0,0,0,14.29,4.16
T-76,Thailand,THA,AFC,women,2,0,0,0,24,group stage,24,6,1,4,30,16.67,2,15,0.667,5,9.09,0,0,0,16.67,4.39
T-13,Chile,CHL,CONMEBOL,women,1,0,0,0,24,group stage,24,3,1,2,5,33.33,2,5,0.667,1.667,4.55,0,0,0,33.33,4.7
T-15,Chinese Taipei,TWN,AFC,women,1,0,0,0,12,quarter-final,12,4,1,2,15,25,2,15,0.5,3.75,4.55,0,0,0,25,3.87
T-17,Costa Rica,CRI,CONCACAF,women,1,0,0,0,24,group stage,24,3,0,3,4,0,3,4,1,1.333,4.55,0,0,0,0,1.36
T-25,Ecuador,ECU,CONMEBOL,women,1,0,0,0,24,group stage,24,3,0,1,17,0,1,17,0.333,5.667,4.55,0,0,0,0,1.36
